language: Español
countries: ES MX AR CO CL PE VE

"Input:" "Entrada:"
"Output:" "Salida:"
"Vol:" "Vol:"
"Start session" "Iniciar sesión"
"Stop session" "Detener sesión"
"RUNNING" "EN EJECUCIÓN"
"Stopped" "Detenido"
"^ Browse Effects" "^ Explorar efectos"
"v Browse Effects" "v Explorar efectos"

"File" "Archivo"
"New Chain" "Nueva cadena"
"Clear the current effect chain? This cannot be undone." "¿Limpiar la cadena de efectos? Esta acción no se puede deshacer."
"Clear" "Limpiar"
"Cancel" "Cancelar"
"Save Preset..." "Guardar preset..."
"Load Preset..." "Cargar preset..."
"Save Preset" "Guardar preset"
"Load Preset" "Cargar preset"
"Audio" "Audio"
"Buffer Size" "Tamaño de búfer"
"samples" "muestras"
"Sample Rate" "Frecuencia de muestreo"
"Language" "Idioma"
"English" "Inglés"
"Help" "Ayuda"
"How to use..." "Cómo usar..."
"About..." "Acerca de..."
"About Realtime Audio Processor" "Acerca de Realtime Audio Processor"
"How to use" "Cómo usar"
"Starting a session:" "Iniciar una sesión:"
"1. Select your audio input device (e.g. USB interface)." "1. Selecciona tu dispositivo de entrada de audio (p. ej. interfaz USB)."
"2. Select your audio output device." "2. Selecciona tu dispositivo de salida de audio."
"3. Click \"Start session\". The LED turns green when active." "3. Haz clic en \"Iniciar sesión\". El LED se pone verde cuando la sesión está activa."
"Adding effects:" "Añadir efectos:"
"Click any empty slot (+) in the chain, or open \"Browse Effects\" at the bottom and click a pedal thumbnail. The effect is placed at that position." "Haz clic en cualquier ranura vacía (+) de la cadena, o abre \"Explorar efectos\" en la parte inferior y haz clic en una miniatura de pedal. El efecto se coloca en esa posición."
"Enabling / disabling an effect:" "Activar / desactivar un efecto:"
"Click the title bar of any effect card to toggle bypass. The LED turns red when bypassed." "Haz clic en la barra de título de cualquier efecto para activar o desactivar el bypass. El LED se pone rojo cuando está desactivado."
"Adjusting parameters:" "Ajustar parámetros:"
"Rotate the knobs on each effect card using vertical drag (click and drag up or down) or the mouse scroll wheel." "Gira los controles de cada efecto arrastrando verticalmente (clic y arrastra hacia arriba o abajo) o con la rueda del ratón."
"Reordering effects:" "Reordenar efectos:"
"Drag an effect card by its title bar and drop it onto the card you want to swap positions with." "Arrastra un efecto por su barra de título y suéltalo sobre el efecto con el que quieres intercambiar el orden."
"Presets:" "Presets:"
"Use File > Save Preset... / Load Preset... to store and recall the full effect chain." "Usa Archivo > Guardar preset... / Cargar preset... para guardar y recuperar la cadena de efectos."
"Keyboard shortcuts:" "Atajos de teclado:"
